,Ref,Team,Wins,Losses,Win %
314,Andy McElman,Colorado Avalanche,7,3,0.7
315,Andy McElman,Phoenix Coyotes,3,0,1.0
316,Andy McElman,Carolina Hurricanes,2,2,0.5
317,Andy McElman,Nashville Predators,2,6,0.25
318,Andy McElman,Atlanta Thrashers,0,0,
319,Andy McElman,Minnesota Wild,0,0,
320,Andy McElman,Columbus Blue Jackets,0,0,
321,Andy McElman,Winnipeg Jets,0,0,
322,Andy McElman,Arizona Coyotes,0,0,
323,Andy McElman,Vegas Golden Knights,0,0,
324,Richard Trottier,Buffalo Sabres,12,14,0.46153846153846156
325,Richard Trottier,New York Rangers,12,6,0.6666666666666666
326,Richard Trottier,Pittsburgh Penguins,12,7,0.631578947368421
327,Richard Trottier,Tampa Bay Lightning,13,15,0.4642857142857143
328,Richard Trottier,Chicago Blackhawks,14,17,0.45161290322580644
329,Richard Trottier,Detroit Red Wings,9,7,0.5625
330,Richard Trottier,Calgary Flames,10,20,0.3333333333333333
331,Richard Trottier,Winnipeg Jets (1979),3,7,0.3
332,Richard Trottier,Anaheim Ducks,15,17,0.46875
333,Richard Trottier,Edmonton Oilers,15,7,0.6818181818181818
334,Richard Trottier,Dallas Stars,10,6,0.625
335,Richard Trottier,Vancouver Canucks,12,13,0.48
336,Richard Trottier,San Jose Sharks,9,12,0.42857142857142855
337,Richard Trottier,St. Louis Blues,16,8,0.6666666666666666
338,Richard Trottier,Los Angeles Kings,11,15,0.4230769230769231
339,Richard Trottier,Toronto Maple Leafs,11,12,0.4782608695652174
340,Richard Trottier,Hartford Whalers,7,5,0.5833333333333334
341,Richard Trottier,Washington Capitals,9,20,0.3103448275862069
342,Richard Trottier,Florida Panthers,13,12,0.52
343,Richard Trottier,New York Islanders,13,20,0.3939393939393939
344,Richard Trottier,Montréal Canadiens,8,9,0.47058823529411764
345,Richard Trottier,Philadelphia Flyers,15,6,0.7142857142857143
346,Richard Trottier,Quebec Nordiques,3,0,1.0
347,Richard Trottier,Boston Bruins,9,18,0.3333333333333333
348,Richard Trottier,New Jersey Devils,16,9,0.64
349,Richard Trottier,Ottawa Senators,11,17,0.39285714285714285
350,Richard Trottier,Colorado Avalanche,17,5,0.7727272727272727
351,Richard Trottier,Phoenix Coyotes,10,12,0.45454545454545453
352,Richard Trottier,Carolina Hurricanes,15,5,0.75
353,Richard Trottier,Nashville Predators,4,10,0.2857142857142857
354,Richard Trottier,Atlanta Thrashers,2,5,0.2857142857142857
355,Richard Trottier,Minnesota Wild,1,0,1.0
356,Richard Trottier,Columbus Blue Jackets,0,1,0.0
357,Richard Trottier,Winnipeg Jets,0,0,
358,Richard Trottier,Arizona Coyotes,0,0,
359,Richard Trottier,Vegas Golden Knights,0,0,
360,Devorsky,Buffalo Sabres,0,0,
361,Devorsky,New York Rangers,0,1,0.0
362,Devorsky,Pittsburgh Penguins,0,0,
363,Devorsky,Tampa Bay Lightning,0,0,
364,Devorsky,Chicago Blackhawks,0,0,
365,Devorsky,Detroit Red Wings,0,0,
366,Devorsky,Calgary Flames,0,0,
367,Devorsky,Winnipeg Jets (1979),0,0,
368,Devorsky,Anaheim Ducks,0,0,
369,Devorsky,Edmonton Oilers,0,0,
370,Devorsky,Dallas Stars,0,0,
371,Devorsky,Vancouver Canucks,0,0,
372,Devorsky,San Jose Sharks,0,0,
373,Devorsky,St. Louis Blues,0,0,
374,Devorsky,Los Angeles Kings,0,0,
375,Devorsky,Toronto Maple Leafs,0,0,
376,Devorsky,Hartford Whalers,0,0,
377,Devorsky,Washington Capitals,0,0,
378,Devorsky,Florida Panthers,0,0,
379,Devorsky,New York Islanders,0,0,
380,Devorsky,Montréal Canadiens,1,0,1.0
381,Devorsky,Philadelphia Flyers,0,0,
382,Devorsky,Quebec Nordiques,0,0,
383,Devorsky,Boston Bruins,0,0,
384,Devorsky,New Jersey Devils,0,0,
385,Devorsky,Ottawa Senators,0,0,
386,Devorsky,Colorado Avalanche,0,0,
387,Devorsky,Phoenix Coyotes,0,0,
388,Devorsky,Carolina Hurricanes,0,0,
389,Devorsky,Nashville Predators,0,0,
390,Devorsky,Atlanta Thrashers,0,0,
391,Devorsky,Minnesota Wild,0,0,
392,Devorsky,Columbus Blue Jackets,0,0,
393,Devorsky,Winnipeg Jets,0,0,
394,Devorsky,Arizona Coyotes,0,0,
395,Devorsky,Vegas Golden Knights,0,0,
396,Wayne Bonney,Buffalo Sabres,1,3,0.25
397,Wayne Bonney,New York Rangers,2,2,0.5
398,Wayne Bonney,Pittsburgh Penguins,3,6,0.3333333333333333
399,Wayne Bonney,Tampa Bay Lightning,4,3,0.5714285714285714
400,Wayne Bonney,Chicago Blackhawks,8,17,0.32
401,Wayne Bonney,Detroit Red Wings,6,7,0.46153846153846156
402,Wayne Bonney,Calgary Flames,10,15,0.4
403,Wayne Bonney,Winnipeg Jets (1979),2,6,0.25
404,Wayne Bonney,Anaheim Ducks,21,10,0.6774193548387096
405,Wayne Bonney,Edmonton Oilers,10,13,0.43478260869565216
406,Wayne Bonney,Dallas Stars,18,7,0.72
407,Wayne Bonney,Vancouver Canucks,16,16,0.5
408,Wayne Bonney,San Jose Sharks,14,24,0.3684210526315789
409,Wayne Bonney,St. Louis Blues,11,10,0.5238095238095238
410,Wayne Bonney,Los Angeles Kings,10,19,0.3448275862068966
411,Wayne Bonney,Toronto Maple Leafs,10,10,0.5
412,Wayne Bonney,Hartford Whalers,0,0,
413,Wayne Bonney,Washington Capitals,1,6,0.14285714285714285
414,Wayne Bonney,Florida Panthers,3,3,0.5
415,Wayne Bonney,New York Islanders,1,9,0.1
416,Wayne Bonney,Montréal Canadiens,3,3,0.5
417,Wayne Bonney,Philadelphia Flyers,3,1,0.75
418,Wayne Bonney,Quebec Nordiques,0,0,
419,Wayne Bonney,Boston Bruins,5,1,0.8333333333333334
420,Wayne Bonney,New Jersey Devils,7,1,0.875
421,Wayne Bonney,Ottawa Senators,10,11,0.47619047619047616
422,Wayne Bonney,Colorado Avalanche,26,7,0.7878787878787878
423,Wayne Bonney,Phoenix Coyotes,21,17,0.5526315789473685
424,Wayne Bonney,Carolina Hurricanes,1,0,1.0
425,Wayne Bonney,Nashville Predators,0,0,
426,Wayne Bonney,Atlanta Thrashers,0,0,
427,Wayne Bonney,Minnesota Wild,0,0,
428,Wayne Bonney,Columbus Blue Jackets,0,0,
429,Wayne Bonney,Winnipeg Jets,0,0,
430,Wayne Bonney,Arizona Coyotes,0,0,
431,Wayne Bonney,Vegas Golden Knights,0,0,
432,McCourt,Buffalo Sabres,0,0,
433,McCourt,New York Rangers,0,1,0.0
434,McCourt,Pittsburgh Penguins,0,1,0.0
435,McCourt,Tampa Bay Lightning,0,0,
436,McCourt,Chicago Blackhawks,1,2,0.3333333333333333
437,McCourt,Detroit Red Wings,6,1,0.8571428571428571
438,McCourt,Calgary Flames,0,4,0.0
439,McCourt,Winnipeg Jets (1979),0,0,
440,McCourt,Anaheim Ducks,0,1,0.0
441,McCourt,Edmonton Oilers,0,2,0.0
442,McCourt,Dallas Stars,5,3,0.625
443,McCourt,Vancouver Canucks,1,0,1.0
444,McCourt,San Jose Sharks,1,3,0.25
445,McCourt,St. Louis Blues,2,0,1.0
446,McCourt,Los Angeles Kings,1,0,1.0
447,McCourt,Toronto Maple Leafs,0,1,0.0
448,McCourt,Hartford Whalers,0,1,0.0
449,McCourt,Washington Capitals,2,0,1.0
450,McCourt,Florida Panthers,0,0,
451,McCourt,New York Islanders,0,0,
452,McCourt,Montréal Canadiens,3,2,0.6
453,McCourt,Philadelphia Flyers,0,0,
454,McCourt,Quebec Nordiques,0,1,0.0
455,McCourt,Boston Bruins,0,0,
456,McCourt,New Jersey Devils,1,1,0.5
457,McCourt,Ottawa Senators,0,0,
458,McCourt,Colorado Avalanche,1,0,1.0
459,McCourt,Phoenix Coyotes,0,0,
460,McCourt,Carolina Hurricanes,0,0,
461,McCourt,Nashville Predators,0,0,
462,McCourt,Atlanta Thrashers,0,0,
463,McCourt,Minnesota Wild,0,0,
464,McCourt,Columbus Blue Jackets,0,0,
465,McCourt,Winnipeg Jets,0,0,
466,McCourt,Arizona Coyotes,0,0,
467,McCourt,Vegas Golden Knights,0,0,
468,McGeough,Buffalo Sabres,0,1,0.0
469,McGeough,New York Rangers,1,0,1.0
470,McGeough,Pittsburgh Penguins,1,0,1.0
471,McGeough,Tampa Bay Lightning,0,0,
472,McGeough,Chicago Blackhawks,0,0,
473,McGeough,Detroit Red Wings,5,0,1.0
474,McGeough,Calgary Flames,2,1,0.6666666666666666
475,McGeough,Winnipeg Jets (1979),1,1,0.5
476,McGeough,Anaheim Ducks,1,1,0.5
477,McGeough,Edmonton Oilers,0,0,
478,McGeough,Dallas Stars,3,2,0.6
479,McGeough,Vancouver Canucks,1,2,0.3333333333333333
480,McGeough,San Jose Sharks,1,5,0.16666666666666666
481,McGeough,St. Louis Blues,2,0,1.0
482,McGeough,Los Angeles Kings,0,2,0.0
483,McGeough,Toronto Maple Leafs,1,3,0.25
484,McGeough,Hartford Whalers,1,0,1.0
485,McGeough,Washington Capitals,0,0,
486,McGeough,Florida Panthers,1,0,1.0
487,McGeough,New York Islanders,0,0,
488,McGeough,Montréal Canadiens,1,2,0.3333333333333333
489,McGeough,Philadelphia Flyers,0,1,0.0
490,McGeough,Quebec Nordiques,1,0,1.0
491,McGeough,Boston Bruins,1,1,0.5
492,McGeough,New Jersey Devils,0,1,0.0
493,McGeough,Ottawa Senators,0,0,
494,McGeough,Colorado Avalanche,1,1,0.5
495,McGeough,Phoenix Coyotes,0,0,
