Year,Ref,Score,Team
1994,Pierre Champoux,2,New Jersey Devils
1994,Stephen Walkom,2,Hartford Whalers
1994,Stephen Walkom,2,New Jersey Devils
1994,Lance Roberts,3,New York Islanders
1994,Lance Roberts,3,Ottawa Senators
1994,Scott Driscoll,3,New York Islanders
1994,Scott Driscoll,3,Ottawa Senators
1994,Gordon Broseker,5,Buffalo Sabres
1994,Gordon Broseker,2,Tampa Bay Lightning
1994,Mark Faucette,5,Buffalo Sabres
1994,Mark Faucette,2,Tampa Bay Lightning
1994,Finn,4,Calgary Flames
1994,Finn,1,Detroit Red Wings
1994,Fraser,4,Calgary Flames
1994,Fraser,1,Detroit Red Wings
1994,Mike McGeough,4,Edmonton Oilers
1994,Mike McGeough,3,Los Angeles Kings
1994,Ron Asselstine,4,Edmonton Oilers
1994,Ron Asselstine,3,Los Angeles Kings
1994,Andy van Hellemond,2,Boston Bruins
1994,Andy van Hellemond,1,New York Rangers
1994,Leon Stickle,2,Boston Bruins
1994,Leon Stickle,1,New York Rangers
1994,Dave Jackson #8,5,Florida Panthers
1994,Dave Jackson #8,6,Pittsburgh Penguins
1994,Gord Broseker #33,5,Florida Panthers
1994,Gord Broseker #33,6,Pittsburgh Penguins
1994,Don Koharski,3,Chicago Blackhawks
1994,Don Koharski,5,Winnipeg Jets (1979)
1994,Wayne Bonney,3,Chicago Blackhawks
1994,Wayne Bonney,5,Winnipeg Jets (1979)
1994,Paul Devorski,5,Anaheim Ducks
1994,Paul Devorski,4,Edmonton Oilers
1994,Ron Asselstine,5,Anaheim Ducks
1994,Ron Asselstine,4,Edmonton Oilers
1994,Gerard Gauthier,5,Quebec Nordiques
1994,Gerard Gauthier,1,Washington Capitals
1994,Steven Walkom,5,Quebec Nordiques
1994,Steven Walkom,1,Washington Capitals
1994,Bill McCreary,4,New York Islanders
1994,Bill McCreary,3,Philadelphia Flyers
1994,Leon Stickle,4,New York Islanders
1994,Leon Stickle,3,Philadelphia Flyers
1994,Driscoll,6,Detroit Red Wings
1994,Driscoll,3,Vancouver Canucks
1994,Massenhoven,6,Detroit Red Wings
1994,Massenhoven,3,Vancouver Canucks
1994,Paul Stewart,6,Calgary Flames
1994,Paul Stewart,4,St. Louis Blues
1994,Wayne Bonney,6,Calgary Flames
1994,Wayne Bonney,4,St. Louis Blues
1994,Swede Knox,4,Dallas Stars
1994,Swede Knox,2,Los Angeles Kings
1994,Terry Gregson,4,Dallas Stars
1994,Terry Gregson,2,Los Angeles Kings
1994,Andy van Hellemond,4,Hartford Whalers
1994,Andy van Hellemond,1,Ottawa Senators
1994,Pierre Champoux,4,Hartford Whalers
1994,Pierre Champoux,1,Ottawa Senators
1994,Driscoll,2,Buffalo Sabres
1994,Driscoll,1,New Jersey Devils
1994,Van Massenhoven,2,Buffalo Sabres
1994,Van Massenhoven,1,New Jersey Devils
1994,Gauthier,2,Montréal Canadiens
1994,Gauthier,0,Washington Capitals
1994,Roberts,2,Montréal Canadiens
1994,Roberts,0,Washington Capitals
1994,Kerry Fraser,2,New York Rangers
1994,Kerry Fraser,3,Pittsburgh Penguins
1994,Pat Dapuzzo,2,New York Rangers
1994,Pat Dapuzzo,3,Pittsburgh Penguins
1994,Bill McCreary,2,Florida Panthers
1994,Bill McCreary,3,Tampa Bay Lightning
1994,Dan McCourt,2,Florida Panthers
1994,Dan McCourt,3,Tampa Bay Lightning
1994,Dan Marouelli,6,Toronto Maple Leafs
1994,Dan Marouelli,2,Vancouver Canucks
1994,Ron Finn,6,Toronto Maple Leafs
1994,Ron Finn,2,Vancouver Canucks
1994,Brad Lazarowich,5,Chicago Blackhawks
1994,Brad Lazarowich,1,Edmonton Oilers
1994,Rich Trottier,5,Chicago Blackhawks
1994,Rich Trottier,1,Edmonton Oilers
1994,Gregson,4,San Jose Sharks
1994,Gregson,0,Winnipeg Jets (1979)
1994,Knox,4,San Jose Sharks
1994,Knox,0,Winnipeg Jets (1979)
1994,Paul Stewart,1,Anaheim Ducks
1994,Paul Stewart,4,Dallas Stars
1994,Shane Heyer,1,Anaheim Ducks
1994,Shane Heyer,4,Dallas Stars
1994,Kevin Collins,1,Boston Bruins
1994,Kevin Collins,0,New Jersey Devils
1994,Lance Roberts,1,Boston Bruins
1994,Lance Roberts,0,New Jersey Devils
1994,Jean Morin,2,Hartford Whalers
1994,Jean Morin,3,Philadelphia Flyers
1994,Paul Devorski,2,Hartford Whalers
1994,Paul Devorski,3,Philadelphia Flyers
1994,Mark Faucette #11,4,Florida Panthers
1994,Mark Faucette #11,2,Tampa Bay Lightning
1994,Stephane Provost #37,4,Florida Panthers
1994,Stephane Provost #37,2,Tampa Bay Lightning
1994,Pare,1,Calgary Flames
1994,Pare,5,Detroit Red Wings
1994,Trottier,1,Calgary Flames
1994,Trottier,5,Detroit Red Wings
1994,Dan Schachte,1,Los Angeles Kings
1994,Dan Schachte,3,St. Louis Blues
1994,Don Koharski,1,Los Angeles Kings
1994,Don Koharski,3,St. Louis Blues
1994,Scott Driscoll,4,Ottawa Senators
1994,Scott Driscoll,5,Pittsburgh Penguins
1994,Steve Walkom,4,Ottawa Senators
1994,Steve Walkom,5,Pittsburgh Penguins
1994,Devorski,3,Buffalo Sabres
1994,Devorski,7,Quebec Nordiques
1994,McGeough,3,Buffalo Sabres
1994,McGeough,7,Quebec Nordiques
1994,Gordon Broseker,2,New York Islanders
1994,Gordon Broseker,5,Washington Capitals
1994,Kerry Fraser,2,New York Islanders
1994,Kerry Fraser,5,Washington Capitals
1994,Bill McCreary,4,Chicago Blackhawks
1994,Bill McCreary,1,Toronto Maple Leafs
1994,Brad Lazarowich,4,Chicago Blackhawks
1994,Brad Lazarowich,1,Toronto Maple Leafs
1994,Shane Heyer,3,Anaheim Ducks
1994,Shane Heyer,2,Winnipeg Jets (1979)
1994,Terry Gregson,3,Anaheim Ducks
1994,Terry Gregson,2,Winnipeg Jets (1979)
1994,Brian Murphy,2,Florida Panthers
1994,Brian Murphy,1,Hartford Whalers
1994,Paul Devorski,2,Florida Panthers
1994,Paul Devorski,1,Hartford Whalers
1994,Dave Jackson,2,Buffalo Sabres
1994,Dave Jackson,2,Ottawa Senators
1994,Greg Devorski,2,Buffalo Sabres
1994,Greg Devorski,2,Ottawa Senators
1994,Gauthier,5,Montréal Canadiens
1994,Gauthier,1,New Jersey Devils
1994,Trottier,5,Montréal Canadiens
1994,Trottier,1,New Jersey Devils
1994,Mike Cvik,0,New York Rangers
1994,Mike Cvik,2,Quebec Nordiques
1994,Roberts,0,New York Rangers
1994,Roberts,2,Quebec Nordiques
1994,Andy McElman,1,New York Islanders
1994,Andy McElman,4,Tampa Bay Lightning
1994,Mike McGeough,1,New York Islanders
