Year,Ref,Score,Team
1999,Don Koharski,2,Tampa Bay Lightning
1999,Scott Zelkin,3,Anaheim Ducks
1999,Scott Zelkin,2,Tampa Bay Lightning
1999,Danny McCourt,1,Chicago Blackhawks
1999,Danny McCourt,2,Toronto Maple Leafs
1999,Terry Gregson,1,Chicago Blackhawks
1999,Terry Gregson,2,Toronto Maple Leafs
1999,Baron Parker,2,Boston Bruins
1999,Baron Parker,2,Dallas Stars
1999,Dan O'Halloran,2,Boston Bruins
1999,Dan O'Halloran,2,Dallas Stars
1999,Dennis LaRue,1,Calgary Flames
1999,Dennis LaRue,4,Los Angeles Kings
1999,Robbie Shick,1,Calgary Flames
1999,Robbie Shick,4,Los Angeles Kings
1999,Bill McCreary,4,Carolina Hurricanes
1999,Bill McCreary,1,Vancouver Canucks
1999,Don Van Massenhoven,4,Carolina Hurricanes
1999,Don Van Massenhoven,1,Vancouver Canucks
1999,Dave Jackson,1,Buffalo Sabres
1999,Dave Jackson,2,Montréal Canadiens
1999,Pierre Champoux,1,Buffalo Sabres
1999,Pierre Champoux,2,Montréal Canadiens
1999,Blaine Angus,4,New Jersey Devils
1999,Blaine Angus,1,New York Islanders
1999,Dan Marouelli,4,New Jersey Devils
1999,Dan Marouelli,1,New York Islanders
1999,Brad Watson,3,Chicago Blackhawks
1999,Brad Watson,3,Pittsburgh Penguins
1999,Paul Devorski,3,Chicago Blackhawks
1999,Paul Devorski,3,Pittsburgh Penguins
1999,Pat Dapuzzo,3,San Jose Sharks
1999,Pat Dapuzzo,2,Washington Capitals
1999,Richard Trottier,3,San Jose Sharks
1999,Richard Trottier,2,Washington Capitals
1999,Don Koharski,4,Atlanta Thrashers
1999,Don Koharski,4,Tampa Bay Lightning
1999,Scott Zelkin,4,Atlanta Thrashers
1999,Scott Zelkin,4,Tampa Bay Lightning
1999,Kevin Maguire,2,Anaheim Ducks
1999,Kevin Maguire,3,Florida Panthers
1999,Pierre Racicot,2,Anaheim Ducks
1999,Pierre Racicot,3,Florida Panthers
1999,Kerry Fraser,3,Detroit Red Wings
1999,Kerry Fraser,2,Philadelphia Flyers
1999,Ray Scapinello,3,Detroit Red Wings
1999,Ray Scapinello,2,Philadelphia Flyers
1999,Danny McCourt,4,St. Louis Blues
1999,Danny McCourt,2,Toronto Maple Leafs
1999,Mark Faucette,4,St. Louis Blues
1999,Mark Faucette,2,Toronto Maple Leafs
1999,Mike Leggo,2,Dallas Stars
1999,Mike Leggo,3,Nashville Predators
1999,Paul Stewart,2,Dallas Stars
1999,Paul Stewart,3,Nashville Predators
1999,Michael McGeough,3,Colorado Avalanche
1999,Michael McGeough,1,Ottawa Senators
1999,Robbie Shick,3,Colorado Avalanche
1999,Robbie Shick,1,Ottawa Senators
1999,Bill McCreary,4,Calgary Flames
1999,Bill McCreary,4,Vancouver Canucks
1999,Don Henderson,4,Calgary Flames
1999,Don Henderson,4,Vancouver Canucks
1999,Don Van Massenhoven,5,Edmonton Oilers
1999,Don Van Massenhoven,4,Los Angeles Kings
1999,Swede Knox,5,Edmonton Oilers
1999,Swede Knox,4,Los Angeles Kings
1999,Stephen Walkom,1,Boston Bruins
1999,Stephen Walkom,2,Phoenix Coyotes
1999,Wayne Bonney,1,Boston Bruins
1999,Wayne Bonney,2,Phoenix Coyotes
1999,Blaine Angus,1,Atlanta Thrashers
1999,Blaine Angus,4,New York Rangers
1999,Dan Marouelli,1,Atlanta Thrashers
1999,Dan Marouelli,4,New York Rangers
1999,Paul Devorski,2,Buffalo Sabres
1999,Paul Devorski,5,Philadelphia Flyers
1999,Richard Trottier,2,Buffalo Sabres
1999,Richard Trottier,5,Philadelphia Flyers
1999,Brian Murphy,2,Montréal Canadiens
1999,Brian Murphy,4,New York Islanders
1999,Lance Roberts,2,Montréal Canadiens
1999,Lance Roberts,4,New York Islanders
1999,Bernard Degrace,1,New York Rangers
1999,Bernard Degrace,2,San Jose Sharks
1999,Gordon Broseker,1,New York Rangers
1999,Gordon Broseker,2,San Jose Sharks
1999,Conrad Hache,7,Anaheim Ducks
1999,Conrad Hache,1,Washington Capitals
1999,Terry Gregson,7,Anaheim Ducks
1999,Terry Gregson,1,Washington Capitals
1999,Kevin Collins,5,Tampa Bay Lightning
1999,Kevin Collins,6,Vancouver Canucks
1999,Kevin Maguire,5,Tampa Bay Lightning
1999,Kevin Maguire,6,Vancouver Canucks
1999,Brad Lazarowich,1,Calgary Flames
1999,Brad Lazarowich,7,St. Louis Blues
1999,Stephen Walkom,1,Calgary Flames
1999,Stephen Walkom,7,St. Louis Blues
1999,Bill McCreary,3,Buffalo Sabres
1999,Bill McCreary,4,Nashville Predators
1999,Brian Murphy,3,Buffalo Sabres
1999,Brian Murphy,4,Nashville Predators
1999,Dennis LaRue,3,Carolina Hurricanes
1999,Dennis LaRue,3,Toronto Maple Leafs
1999,Pierre Champoux,3,Carolina Hurricanes
1999,Pierre Champoux,3,Toronto Maple Leafs
1999,Brad Watson,2,Colorado Avalanche
1999,Brad Watson,1,Montréal Canadiens
1999,Pat Dapuzzo,2,Colorado Avalanche
1999,Pat Dapuzzo,1,Montréal Canadiens
1999,Dave Jackson,0,New York Rangers
1999,Dave Jackson,5,Philadelphia Flyers
1999,Lance Roberts,0,New York Rangers
1999,Lance Roberts,5,Philadelphia Flyers
1999,Kevin Collins,5,Florida Panthers
1999,Kevin Collins,2,Vancouver Canucks
1999,Richard Trottier,5,Florida Panthers
1999,Richard Trottier,2,Vancouver Canucks
1999,Dan O'Halloran,6,Detroit Red Wings
1999,Dan O'Halloran,3,San Jose Sharks
1999,Stephen Walkom,6,Detroit Red Wings
1999,Stephen Walkom,3,San Jose Sharks
1999,Mark Wheler,2,Dallas Stars
1999,Mark Wheler,1,Edmonton Oilers
1999,Paul Stewart,2,Dallas Stars
1999,Paul Stewart,1,Edmonton Oilers
1999,Mike Leggo,2,Boston Bruins
1999,Mike Leggo,2,Los Angeles Kings
1999,Robbie Shick,2,Boston Bruins
1999,Robbie Shick,2,Los Angeles Kings
1999,Don Van Massenhoven,1,Colorado Avalanche
1999,Don Van Massenhoven,4,Ottawa Senators
1999,Tim Peel,1,Colorado Avalanche
1999,Tim Peel,4,Ottawa Senators
1999,Baron Parker,5,Anaheim Ducks
1999,Baron Parker,5,Chicago Blackhawks
1999,Dennis LaRue,5,Anaheim Ducks
1999,Dennis LaRue,5,Chicago Blackhawks
1999,Kerry Fraser,2,Edmonton Oilers
1999,Kerry Fraser,3,St. Louis Blues
1999,Kevin Maguire,2,Edmonton Oilers
1999,Kevin Maguire,3,St. Louis Blues
1999,Pierre Champoux,7,Buffalo Sabres
1999,Pierre Champoux,3,Carolina Hurricanes
1999,Terry Gregson,7,Buffalo Sabres
1999,Terry Gregson,3,Carolina Hurricanes
1999,Bill McCreary,0,New York Rangers
1999,Bill McCreary,2,Philadelphia Flyers
1999,Brad Watson,0,New York Rangers
1999,Brad Watson,2,Philadelphia Flyers
1999,Greg Kimmerly,3,Calgary Flames
1999,Greg Kimmerly,2,Florida Panthers
1999,Mark Faucette,3,Calgary Flames
1999,Mark Faucette,2,Florida Panthers
1999,Bernard Degrace,3,Anaheim Ducks
1999,Bernard Degrace,6,Detroit Red Wings
1999,Stephen Walkom,3,Anaheim Ducks
1999,Stephen Walkom,6,Detroit Red Wings
1999,Paul Stewart,2,Dallas Stars
1999,Paul Stewart,1,New Jersey Devils
1999,Scott Zelkin,2,Dallas Stars
1999,Scott Zelkin,1,New Jersey Devils
1999,Dan Marouelli,3,Los Angeles Kings
1999,Dan Marouelli,6,Phoenix Coyotes
1999,Swede Knox,3,Los Angeles Kings
1999,Swede Knox,6,Phoenix Coyotes
1999,Dan O'Halloran,2,Montréal Canadiens
1999,Dan O'Halloran,3,Toronto Maple Leafs
1999,Stephen Walkom,2,Montréal Canadiens
1999,Stephen Walkom,3,Toronto Maple Leafs
1999,Dennis LaRue,0,Buffalo Sabres
1999,Dennis LaRue,4,Ottawa Senators
1999,Lance Roberts,0,Buffalo Sabres
1999,Lance Roberts,4,Ottawa Senators
1999,Blaine Angus,2,New York Islanders
1999,Blaine Angus,2,Vancouver Canucks
1999,Don Van Massenhoven,2,New York Islanders
1999,Don Van Massenhoven,2,Vancouver Canucks
1999,Bill McCreary,3,Carolina Hurricanes
1999,Bill McCreary,2,Pittsburgh Penguins
1999,Brad Meier,3,Carolina Hurricanes
1999,Brad Meier,2,Pittsburgh Penguins
1999,Danny McCourt,2,Atlanta Thrashers
1999,Danny McCourt,3,Colorado Avalanche
1999,Mike Leggo,2,Atlanta Thrashers
1999,Mike Leggo,3,Colorado Avalanche
1999,Greg Kimmerly,1,Calgary Flames
1999,Greg Kimmerly,2,Tampa Bay Lightning
1999,Kevin Collins,1,Calgary Flames
1999,Kevin Collins,2,Tampa Bay Lightning
1999,Brad Lazarowich,0,Chicago Blackhawks
1999,Brad Lazarowich,1,Detroit Red Wings
1999,Kerry Fraser,0,Chicago Blackhawks
1999,Kerry Fraser,1,Detroit Red Wings
1999,Baron Parker,1,New Jersey Devils
1999,Baron Parker,3,St. Louis Blues
1999,Michael McGeough,1,New Jersey Devils
1999,Michael McGeough,3,St. Louis Blues
1999,Don Koharski,3,Edmonton Oilers
1999,Don Koharski,4,Nashville Predators
1999,Rob Martell,3,Edmonton Oilers
1999,Rob Martell,4,Nashville Predators
1999,Jay Sharrers,2,Phoenix Coyotes
1999,Jay Sharrers,2,Washington Capitals
1999,Robbie Shick,2,Phoenix Coyotes
1999,Robbie Shick,2,Washington Capitals
1999,Dan Marouelli,3,Boston Bruins
1999,Dan Marouelli,1,San Jose Sharks
1999,Wayne Bonney,3,Boston Bruins
1999,Wayne Bonney,1,San Jose Sharks
1999,Dennis LaRue,0,New York Rangers
1999,Dennis LaRue,3,Vancouver Canucks
1999,Paul Devorski,0,New York Rangers
1999,Paul Devorski,3,Vancouver Canucks
1999,Bernard Degrace,0,Florida Panthers
1999,Bernard Degrace,2,Philadelphia Flyers
1999,Don Van Massenhoven,0,Florida Panthers
1999,Don Van Massenhoven,2,Philadelphia Flyers
1999,Dan Marouelli,2,Anaheim Ducks
1999,Dan Marouelli,3,Boston Bruins
1999,Shane Heyer,2,Anaheim Ducks
1999,Shane Heyer,3,Boston Bruins
1999,Paul Stewart,4,Los Angeles Kings
1999,Paul Stewart,3,San Jose Sharks
1999,Wayne Bonney,4,Los Angeles Kings
1999,Wayne Bonney,3,San Jose Sharks
1999,Kerry Fraser,0,Dallas Stars
1999,Kerry Fraser,4,Toronto Maple Leafs
1999,Michael McGeough,0,Dallas Stars
1999,Michael McGeough,4,Toronto Maple Leafs
1999,Don Henderson,2,Philadelphia Flyers
1999,Don Henderson,5,Vancouver Canucks
1999,Don Koharski,2,Philadelphia Flyers
1999,Don Koharski,5,Vancouver Canucks
1999,Gordon Broseker,2,Atlanta Thrashers
1999,Gordon Broseker,1,Calgary Flames
1999,Greg Kimmerly,2,Atlanta Thrashers
1999,Greg Kimmerly,1,Calgary Flames
1999,Dave Jackson,3,Edmonton Oilers
1999,Dave Jackson,1,Phoenix Coyotes
1999,Terry Gregson,3,Edmonton Oilers
1999,Terry Gregson,1,Phoenix Coyotes
1999,Bernard Degrace,5,Los Angeles Kings
1999,Bernard Degrace,2,Washington Capitals
1999,Paul Stewart,5,Los Angeles Kings
1999,Paul Stewart,2,Washington Capitals
1999,Kerry Fraser,4,Buffalo Sabres
1999,Kerry Fraser,3,Tampa Bay Lightning
1999,Marc Joannette,4,Buffalo Sabres
1999,Marc Joannette,3,Tampa Bay Lightning
1999,Richard Trottier,0,Atlanta Thrashers
1999,Richard Trottier,4,Toronto Maple Leafs
1999,Scott Zelkin,0,Atlanta Thrashers
1999,Scott Zelkin,4,Toronto Maple Leafs
1999,Don Koharski,1,Chicago Blackhawks
1999,Don Koharski,0,Montréal Canadiens
1999,Gerry Gauthier,1,Chicago Blackhawks
1999,Gerry Gauthier,0,Montréal Canadiens
1999,Dennis LaRue,2,New Jersey Devils
1999,Dennis LaRue,1,St. Louis Blues
1999,Michael McGeough,2,New Jersey Devils
1999,Michael McGeough,1,St. Louis Blues
1999,Mike Leggo,6,Florida Panthers
1999,Mike Leggo,3,New York Islanders
1999,Robbie Shick,6,Florida Panthers
1999,Robbie Shick,3,New York Islanders
1999,Bill McCreary,3,Colorado Avalanche
1999,Bill McCreary,5,Detroit Red Wings
1999,Lance Roberts,3,Colorado Avalanche
1999,Lance Roberts,5,Detroit Red Wings
1999,Paul Stewart,2,Anaheim Ducks
1999,Paul Stewart,1,Pittsburgh Penguins
1999,Wayne Bonney,2,Anaheim Ducks
1999,Wayne Bonney,1,Pittsburgh Penguins
1999,Dennis LaRue,7,Boston Bruins
1999,Dennis LaRue,3,Tampa Bay Lightning
1999,Don Van Massenhoven,7,Boston Bruins
1999,Don Van Massenhoven,3,Tampa Bay Lightning
1999,Dan Marouelli,4,Calgary Flames
1999,Dan Marouelli,3,Ottawa Senators
1999,Pierre Champoux,4,Calgary Flames
1999,Pierre Champoux,3,Ottawa Senators
1999,Brad Watson,4,Colorado Avalanche
1999,Brad Watson,5,Philadelphia Flyers
1999,Mark Faucette,4,Colorado Avalanche
1999,Mark Faucette,5,Philadelphia Flyers
1999,Dan O'Halloran,4,Phoenix Coyotes
1999,Dan O'Halloran,1,Vancouver Canucks
1999,Stephen Walkom,4,Phoenix Coyotes
1999,Stephen Walkom,1,Vancouver Canucks
1999,Dave Jackson,5,Los Angeles Kings
1999,Dave Jackson,3,Pittsburgh Penguins
1999,Wayne Bonney,5,Los Angeles Kings
1999,Wayne Bonney,3,Pittsburgh Penguins
1999,Bernard Degrace,2,Nashville Predators
1999,Bernard Degrace,3,San Jose Sharks
1999,Terry Gregson,2,Nashville Predators
1999,Terry Gregson,3,San Jose Sharks
1999,Michael McGeough,3,Buffalo Sabres
1999,Michael McGeough,2,Florida Panthers
1999,Richard Trottier,3,Buffalo Sabres
1999,Richard Trottier,2,Florida Panthers
1999,Paul Devorski,2,Carolina Hurricanes
1999,Paul Devorski,4,New Jersey Devils
1999,Tom Kowal,2,Carolina Hurricanes
1999,Tom Kowal,4,New Jersey Devils
1999,Don Koharski,4,Chicago Blackhawks
1999,Don Koharski,2,Detroit Red Wings
1999,Robbie Shick,4,Chicago Blackhawks
1999,Robbie Shick,2,Detroit Red Wings
1999,Dave Jackson,5,Anaheim Ducks
1999,Dave Jackson,2,Washington Capitals
1999,Jay Sharrers,5,Anaheim Ducks
1999,Jay Sharrers,2,Washington Capitals
1999,Brad Watson,3,Boston Bruins
1999,Brad Watson,0,Buffalo Sabres
1999,Mark Faucette,3,Boston Bruins
1999,Mark Faucette,0,Buffalo Sabres
1999,Don Koharski,1,Calgary Flames
1999,Don Koharski,2,Toronto Maple Leafs
1999,Scott Driscoll,1,Calgary Flames
1999,Scott Driscoll,2,Toronto Maple Leafs
1999,Kerry Fraser,2,Montréal Canadiens
1999,Kerry Fraser,2,New York Rangers
1999,Mike Leggo,2,Montréal Canadiens
1999,Mike Leggo,2,New York Rangers
1999,Gerry Gauthier,0,Florida Panthers
1999,Gerry Gauthier,5,Ottawa Senators
1999,Scott Zelkin,0,Florida Panthers
1999,Scott Zelkin,5,Ottawa Senators
1999,Don Van Massenhoven,4,Carolina Hurricanes
1999,Don Van Massenhoven,0,New York Islanders
1999,Tim Peel,4,Carolina Hurricanes
1999,Tim Peel,0,New York Islanders
1999,Bill McCreary,3,New Jersey Devils
1999,Bill McCreary,5,Philadelphia Flyers
1999,Greg Kimmerly,3,New Jersey Devils
1999,Greg Kimmerly,5,Philadelphia Flyers
1999,Blaine Angus,1,Chicago Blackhawks
1999,Blaine Angus,3,Los Angeles Kings
1999,Richard Trottier,1,Chicago Blackhawks
1999,Richard Trottier,3,Los Angeles Kings
1999,Danny McCourt,4,Detroit Red Wings
1999,Danny McCourt,5,St. Louis Blues
1999,Paul Devorski,4,Detroit Red Wings
1999,Paul Devorski,5,St. Louis Blues
1999,Don Henderson,1,Dallas Stars
1999,Don Henderson,2,Tampa Bay Lightning
1999,Lance Roberts,1,Dallas Stars
1999,Lance Roberts,2,Tampa Bay Lightning
1999,Kevin Maguire,3,Colorado Avalanche
1999,Kevin Maguire,5,Phoenix Coyotes
1999,Stephen Walkom,3,Colorado Avalanche
1999,Stephen Walkom,5,Phoenix Coyotes
1999,Bernard Degrace,1,Nashville Predators
1999,Bernard Degrace,4,Vancouver Canucks
1999,Terry Gregson,1,Nashville Predators
1999,Terry Gregson,4,Vancouver Canucks
1999,Dan O'Halloran,1,Pittsburgh Penguins
1999,Dan O'Halloran,1,San Jose Sharks
1999,Jay Sharrers,1,Pittsburgh Penguins
1999,Jay Sharrers,1,San Jose Sharks
1999,Kevin Maguire,4,Edmonton Oilers
1999,Kevin Maguire,2,Nashville Predators
1999,Stephen Walkom,4,Edmonton Oilers
1999,Stephen Walkom,2,Nashville Predators
1999,Dan O'Halloran,0,Anaheim Ducks
1999,Dan O'Halloran,3,Phoenix Coyotes
1999,Jay Sharrers,0,Anaheim Ducks
1999,Jay Sharrers,3,Phoenix Coyotes
1999,Dave Jackson,2,San Jose Sharks
1999,Dave Jackson,1,Washington Capitals
1999,Mark Wheler,2,San Jose Sharks
1999,Mark Wheler,1,Washington Capitals
1999,Greg Kimmerly,5,Los Angeles Kings
1999,Greg Kimmerly,4,Pittsburgh Penguins
1999,Mark Faucette,5,Los Angeles Kings
1999,Mark Faucette,4,Pittsburgh Penguins
1999,Conrad Hache,2,Montréal Canadiens
1999,Conrad Hache,3,New Jersey Devils
1999,Paul Devorski,2,Montréal Canadiens
1999,Paul Devorski,3,New Jersey Devils
1999,Dave Jackson,3,New York Islanders
1999,Dave Jackson,3,New York Rangers
1999,Kerry Fraser,3,New York Islanders
1999,Kerry Fraser,3,New York Rangers
1999,Don Koharski,1,Ottawa Senators
1999,Don Koharski,3,Washington Capitals
1999,Rob Martell,1,Ottawa Senators
1999,Rob Martell,3,Washington Capitals
1999,Lance Roberts,0,Carolina Hurricanes
1999,Lance Roberts,6,Toronto Maple Leafs
1999,Mark Pare,0,Carolina Hurricanes
1999,Mark Pare,6,Toronto Maple Leafs
1999,Paul Stewart,4,Atlanta Thrashers
1999,Paul Stewart,1,Tampa Bay Lightning
1999,Pierre Racicot,4,Atlanta Thrashers
1999,Pierre Racicot,1,Tampa Bay Lightning
1999,Greg Kimmerly,1,Detroit Red Wings
1999,Greg Kimmerly,1,Los Angeles Kings
1999,Mark Faucette,1,Detroit Red Wings
1999,Mark Faucette,1,Los Angeles Kings
1999,Robbie Shick,3,Buffalo Sabres
1999,Robbie Shick,1,Dallas Stars
1999,Shane Heyer,3,Buffalo Sabres
1999,Shane Heyer,1,Dallas Stars
1999,Blaine Angus,5,Colorado Avalanche
1999,Blaine Angus,0,St. Louis Blues
1999,Dan Marouelli,5,Colorado Avalanche
1999,Dan Marouelli,0,St. Louis Blues
1999,Bill McCreary,5,Calgary Flames
1999,Bill McCreary,4,Nashville Predators
1999,Brian Murphy,5,Calgary Flames
1999,Brian Murphy,4,Nashville Predators
1999,Dan O'Halloran,2,Edmonton Oilers
1999,Dan O'Halloran,2,Florida Panthers
1999,Swede Knox,2,Edmonton Oilers
1999,Swede Knox,2,Florida Panthers
1999,Kevin Maguire,3,Anaheim Ducks
1999,Kevin Maguire,3,Philadelphia Flyers
1999,Stephen Walkom,3,Anaheim Ducks
1999,Stephen Walkom,3,Philadelphia Flyers
1999,Dennis LaRue,3,Phoenix Coyotes
1999,Dennis LaRue,6,San Jose Sharks
1999,Don Henderson,3,Phoenix Coyotes
1999,Don Henderson,6,San Jose Sharks
1999,Don Koharski,3,Boston Bruins
1999,Don Koharski,1,New Jersey Devils
1999,Scott Zelkin,3,Boston Bruins
1999,Scott Zelkin,1,New Jersey Devils
1999,Bernard Degrace,2,Ottawa Senators
1999,Bernard Degrace,1,Pittsburgh Penguins
1999,Terry Gregson,2,Ottawa Senators
1999,Terry Gregson,1,Pittsburgh Penguins
1999,Brad Watson,1,Montréal Canadiens
1999,Brad Watson,2,New York Islanders
1999,Paul Devorski,1,Montréal Canadiens
1999,Paul Devorski,2,New York Islanders
1999,Dan Schachte,5,Buffalo Sabres
1999,Dan Schachte,4,Chicago Blackhawks
1999,Don Van Massenhoven,5,Buffalo Sabres
1999,Don Van Massenhoven,4,Chicago Blackhawks
1999,Brad Watson,3,Toronto Maple Leafs
1999,Brad Watson,5,Washington Capitals
1999,Dave Jackson,3,Toronto Maple Leafs
1999,Dave Jackson,5,Washington Capitals
1999,Jean Morin,2,Carolina Hurricanes
1999,Jean Morin,3,Detroit Red Wings
1999,Kerry Fraser,2,Carolina Hurricanes
1999,Kerry Fraser,3,Detroit Red Wings
1999,Lance Roberts,3,Chicago Blackhawks
1999,Lance Roberts,1,Nashville Predators
1999,Tom Kowal,3,Chicago Blackhawks
1999,Tom Kowal,1,Nashville Predators
1999,Michael McGeough,4,Colorado Avalanche
1999,Michael McGeough,1,New York Rangers
1999,Thor Nelson,4,Colorado Avalanche
1999,Thor Nelson,1,New York Rangers
1999,Dan O'Halloran,1,Edmonton Oilers
1999,Dan O'Halloran,2,St. Louis Blues
1999,Dennis LaRue,1,Edmonton Oilers
1999,Dennis LaRue,2,St. Louis Blues
1999,Bill McCreary,2,Florida Panthers
1999,Bill McCreary,3,Vancouver Canucks
1999,Lonnie Cameron,2,Florida Panthers
1999,Lonnie Cameron,3,Vancouver Canucks
1999,Blaine Angus,6,Dallas Stars
1999,Blaine Angus,4,Phoenix Coyotes
1999,Dan Marouelli,6,Dallas Stars
1999,Dan Marouelli,4,Phoenix Coyotes
1999,Kevin Maguire,3,Philadelphia Flyers
1999,Kevin Maguire,1,San Jose Sharks
1999,Stephen Walkom,3,Philadelphia Flyers
1999,Stephen Walkom,1,San Jose Sharks
1999,Bernard Degrace,2,Atlanta Thrashers
1999,Bernard Degrace,4,Boston Bruins
1999,Terry Gregson,2,Atlanta Thrashers
1999,Terry Gregson,4,Boston Bruins
1999,Don Van Massenhoven,2,Buffalo Sabres
1999,Don Van Massenhoven,1,New York Islanders
1999,Scott Driscoll,2,Buffalo Sabres
1999,Scott Driscoll,1,New York Islanders
1999,Paul Devorski,1,Montréal Canadiens
1999,Paul Devorski,2,Ottawa Senators
1999,Richard Trottier,1,Montréal Canadiens
1999,Richard Trottier,2,Ottawa Senators
1999,Gordon Broseker,3,New Jersey Devils
1999,Gordon Broseker,3,Toronto Maple Leafs
1999,Paul Stewart,3,New Jersey Devils
1999,Paul Stewart,3,Toronto Maple Leafs
1999,Don Koharski,4,Pittsburgh Penguins
1999,Don Koharski,7,Tampa Bay Lightning
1999,Scott Zelkin,4,Pittsburgh Penguins
1999,Scott Zelkin,7,Tampa Bay Lightning
1999,Bill McCreary,3,Calgary Flames
1999,Bill McCreary,6,Florida Panthers
1999,Mark Wheler,3,Calgary Flames
1999,Mark Wheler,6,Florida Panthers
1999,Brian Murphy,3,Los Angeles Kings
1999,Brian Murphy,5,Philadelphia Flyers
1999,Dan Marouelli,3,Los Angeles Kings
1999,Dan Marouelli,5,Philadelphia Flyers
1999,Mike Leggo,1,Dallas Stars
1999,Mike Leggo,2,San Jose Sharks
1999,Robbie Shick,1,Dallas Stars
1999,Robbie Shick,2,San Jose Sharks
1999,Dave Jackson,3,Carolina Hurricanes
1999,Dave Jackson,2,Washington Capitals
1999,Greg Kimmerly,3,Carolina Hurricanes
1999,Greg Kimmerly,2,Washington Capitals
1999,Mark Faucette,2,Detroit Red Wings
1999,Mark Faucette,3,Tampa Bay Lightning
1999,Pierre Racicot,2,Detroit Red Wings
1999,Pierre Racicot,3,Tampa Bay Lightning
1999,Lance Roberts,1,Chicago Blackhawks
1999,Lance Roberts,3,New York Rangers
1999,Michael McGeough,1,Chicago Blackhawks
1999,Michael McGeough,3,New York Rangers
1999,Blaine Angus,6,St. Louis Blues
1999,Blaine Angus,1,Vancouver Canucks
1999,Dennis LaRue,6,St. Louis Blues
1999,Dennis LaRue,1,Vancouver Canucks
1999,Baron Parker,3,Anaheim Ducks
1999,Baron Parker,1,Edmonton Oilers
1999,Dan Marouelli,3,Anaheim Ducks
1999,Dan Marouelli,1,Edmonton Oilers
1999,Brad Kovachik,2,Anaheim Ducks
1999,Brad Kovachik,0,Toronto Maple Leafs
1999,Richard Trottier,2,Anaheim Ducks
1999,Richard Trottier,0,Toronto Maple Leafs
1999,Don Koharski,2,New Jersey Devils
1999,Don Koharski,1,Philadelphia Flyers
1999,Pat Dapuzzo,2,New Jersey Devils
1999,Pat Dapuzzo,1,Philadelphia Flyers
1999,Dan O'Halloran,1,Tampa Bay Lightning
1999,Dan O'Halloran,2,Washington Capitals
1999,Stephen Walkom,1,Tampa Bay Lightning
1999,Stephen Walkom,2,Washington Capitals
1999,Dan Schachte,5,Dallas Stars
1999,Dan Schachte,2,St. Louis Blues
1999,Lance Roberts,5,Dallas Stars
1999,Lance Roberts,2,St. Louis Blues
1999,Don Van Massenhoven,4,San Jose Sharks
1999,Don Van Massenhoven,4,Vancouver Canucks
1999,Scott Zelkin,4,San Jose Sharks
1999,Scott Zelkin,4,Vancouver Canucks
1999,Bill McCreary,1,Edmonton Oilers
1999,Bill McCreary,1,Los Angeles Kings
1999,Brian Murphy,1,Edmonton Oilers
1999,Brian Murphy,1,Los Angeles Kings
1999,Blaine Angus,2,Boston Bruins
1999,Blaine Angus,6,Buffalo Sabres
1999,Paul Devorski,2,Boston Bruins
1999,Paul Devorski,6,Buffalo Sabres
1999,Mike Leggo,3,New York Rangers
1999,Mike Leggo,4,Ottawa Senators
1999,Robbie Shick,3,New York Rangers
1999,Robbie Shick,4,Ottawa Senators
1999,Jean Morin,4,Montréal Canadiens
1999,Jean Morin,5,Pittsburgh Penguins
1999,Michael McGeough,4,Montréal Canadiens
1999,Michael McGeough,5,Pittsburgh Penguins
1999,Danny McCourt,0,Carolina Hurricanes
1999,Danny McCourt,2,New York Islanders
1999,Mark Faucette,0,Carolina Hurricanes
1999,Mark Faucette,2,New York Islanders
1999,Bernard Degrace,2,Chicago Blackhawks
1999,Bernard Degrace,4,Nashville Predators
1999,Paul Stewart,2,Chicago Blackhawks
1999,Paul Stewart,4,Nashville Predators
1999,Kevin Maguire,2,Dallas Stars
1999,Kevin Maguire,4,Detroit Red Wings
1999,Terry Gregson,2,Dallas Stars
1999,Terry Gregson,4,Detroit Red Wings
1999,Brad Watson,4,Calgary Flames
1999,Brad Watson,3,San Jose Sharks
1999,Kerry Fraser,4,Calgary Flames
1999,Kerry Fraser,3,San Jose Sharks
1999,Bill McCreary,4,Edmonton Oilers
1999,Bill McCreary,5,Phoenix Coyotes
1999,Brian Murphy,4,Edmonton Oilers
1999,Brian Murphy,5,Phoenix Coyotes
1999,Kevin Collins,4,Boston Bruins
1999,Kevin Collins,3,Toronto Maple Leafs
1999,Stephen Walkom,4,Boston Bruins
1999,Stephen Walkom,3,Toronto Maple Leafs
1999,Dan O'Halloran,1,Anaheim Ducks
1999,Dan O'Halloran,2,Montréal Canadiens
1999,Pierre Champoux,1,Anaheim Ducks
1999,Pierre Champoux,2,Montréal Canadiens
1999,Dave Jackson,2,Nashville Predators
1999,Dave Jackson,1,Ottawa Senators
1999,Dennis LaRue,2,Nashville Predators
1999,Dennis LaRue,1,Ottawa Senators
1999,Mike Leggo,1,Carolina Hurricanes
1999,Mike Leggo,4,Philadelphia Flyers
1999,Robbie Shick,1,Carolina Hurricanes
1999,Robbie Shick,4,Philadelphia Flyers
1999,Gordon Broseker,5,New York Rangers
1999,Gordon Broseker,4,Washington Capitals
1999,Michael McGeough,5,New York Rangers
1999,Michael McGeough,4,Washington Capitals
1999,Don Van Massenhoven,2,Colorado Avalanche
1999,Don Van Massenhoven,5,Los Angeles Kings
