code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020516,Chicago Blackhawks,2,Florida Panthers,1,Don Koharski,Mike Leggo,Chicago Blackhawks,Florida Panthers
1999020517,St. Louis Blues,2,San Jose Sharks,1,Brad Watson,Paul Stewart,St. Louis Blues,San Jose Sharks
1999020518,Nashville Predators,6,Atlanta Thrashers,0,Bernard Degrace,Mark Pare,Nashville Predators,Atlanta Thrashers
1999020519,Los Angeles Kings,8,Edmonton Oilers,2,Bill McCreary,Shane Heyer,Los Angeles Kings,Edmonton Oilers
1999020520,Detroit Red Wings,4,Chicago Blackhawks,4,Blaine Angus,Robbie Shick,Detroit Red Wings,Chicago Blackhawks
1999020521,Dallas Stars,5,Anaheim Ducks,4,Bernard Degrace,Lance Roberts,Dallas Stars,Anaheim Ducks
1999020522,Boston Bruins,2,New Jersey Devils,2,Kevin Maguire,Kevin Collins,Boston Bruins,New Jersey Devils
1999020523,Buffalo Sabres,8,Toronto Maple Leafs,1,Dan O'Halloran,Dan Marouelli,Buffalo Sabres,Toronto Maple Leafs
1999020524,Washington Capitals,1,St. Louis Blues,1,Mike Leggo,Francois Gagnon,Washington Capitals,St. Louis Blues
1999020525,Atlanta Thrashers,2,Carolina Hurricanes,4,Robbie Shick,Scott Zelkin,Carolina Hurricanes,Atlanta Thrashers
1999020526,Florida Panthers,7,Tampa Bay Lightning,5,Mark Faucette,Greg Kimmerly,Florida Panthers,Tampa Bay Lightning
1999020527,Nashville Predators,3,San Jose Sharks,2,Brad Watson,Tim Nowak,Nashville Predators,San Jose Sharks
1999020528,Phoenix Coyotes,4,Edmonton Oilers,5,Michael McGeough,Jay Sharrers,Edmonton Oilers,Phoenix Coyotes
1999020529,Montréal Canadiens,2,New York Rangers,2,Kerry Fraser,Dave Jackson,Montréal Canadiens,New York Rangers
1999020530,New York Islanders,1,Philadelphia Flyers,4,Richard Trottier,Paul Devorski,Philadelphia Flyers,New York Islanders
1999020531,Pittsburgh Penguins,4,Detroit Red Wings,3,Stephen Walkom,Gordon Broseker,Pittsburgh Penguins,Detroit Red Wings
1999020532,Chicago Blackhawks,1,San Jose Sharks,4,Don Van Massenhoven,Dan Schachte,San Jose Sharks,Chicago Blackhawks
1999020533,Calgary Flames,4,Vancouver Canucks,2,Don Koharski,Lance Roberts,Calgary Flames,Vancouver Canucks
1999020534,Toronto Maple Leafs,6,Buffalo Sabres,2,Terry Gregson,Brad Kovachik,Toronto Maple Leafs,Buffalo Sabres
1999020535,Ottawa Senators,3,New Jersey Devils,4,Bernard Degrace,Dennis LaRue,New Jersey Devils,Ottawa Senators
1999020536,New York Rangers,2,St. Louis Blues,5,Mike Leggo,Kevin Collins,St. Louis Blues,New York Rangers
1999020537,Dallas Stars,4,Los Angeles Kings,1,Scott Zelkin,Mark Faucette,Dallas Stars,Los Angeles Kings
1999020538,Colorado Avalanche,2,Edmonton Oilers,2,Don Koharski,Swede Knox,Colorado Avalanche,Edmonton Oilers
1999020539,Buffalo Sabres,4,Atlanta Thrashers,5,Paul Devorski,Pierre Champoux,Atlanta Thrashers,Buffalo Sabres
1999020540,New York Islanders,3,Boston Bruins,7,Conrad Hache,Stephen Walkom,Boston Bruins,New York Islanders
1999020541,Washington Capitals,6,Montréal Canadiens,1,Robbie Shick,Brian Murphy,Washington Capitals,Montréal Canadiens
1999020542,Carolina Hurricanes,1,Ottawa Senators,2,Dan Marouelli,Shane Heyer,Ottawa Senators,Carolina Hurricanes
1999020543,Detroit Red Wings,2,Phoenix Coyotes,5,Bill McCreary,Kevin Maguire,Phoenix Coyotes,Detroit Red Wings
1999020544,St. Louis Blues,2,Los Angeles Kings,2,Richard Trottier,Don Van Massenhoven,St. Louis Blues,Los Angeles Kings
1999020545,New York Rangers,3,Toronto Maple Leafs,2,Blaine Angus,Stephen Walkom,New York Rangers,Toronto Maple Leafs
1999020546,Pittsburgh Penguins,1,New Jersey Devils,3,Mike Leggo,Robbie Shick,New Jersey Devils,Pittsburgh Penguins
1999020547,Dallas Stars,3,Nashville Predators,1,Michael McGeough,Don Henderson,Dallas Stars,Nashville Predators
1999020548,Colorado Avalanche,4,Calgary Flames,0,Mark Faucette,Richard Trottier,Colorado Avalanche,Calgary Flames
1999020549,Edmonton Oilers,1,San Jose Sharks,1,Dave Jackson,Darren Gibbs,Edmonton Oilers,San Jose Sharks
1999020550,Vancouver Canucks,3,Tampa Bay Lightning,3,Lance Roberts,Paul Stewart,Vancouver Canucks,Tampa Bay Lightning
1999020551,Anaheim Ducks,1,Florida Panthers,5,Don Koharski,Scott Zelkin,Florida Panthers,Anaheim Ducks
1999020552,Boston Bruins,3,Carolina Hurricanes,7,Kerry Fraser,Kevin Collins,Carolina Hurricanes,Boston Bruins
1999020553,Buffalo Sabres,3,New Jersey Devils,6,Dennis LaRue,Robbie Shick,New Jersey Devils,Buffalo Sabres
1999020554,Ottawa Senators,5,Phoenix Coyotes,2,Greg Kimmerly,Bill McCreary,Ottawa Senators,Phoenix Coyotes
1999020555,Philadelphia Flyers,3,New York Islanders,2,Blaine Angus,Dan Marouelli,Philadelphia Flyers,New York Islanders
1999020556,Atlanta Thrashers,3,Washington Capitals,1,Kevin Maguire,Don Van Massenhoven,Atlanta Thrashers,Washington Capitals
1999020557,Detroit Red Wings,5,Nashville Predators,2,Bernard Degrace,Terry Gregson,Detroit Red Wings,Nashville Predators
1999020558,Chicago Blackhawks,5,Calgary Flames,2,Paul Devorski,Brad Watson,Chicago Blackhawks,Calgary Flames
1999020559,St. Louis Blues,4,Montréal Canadiens,3,Michael McGeough,Mike Cvik,St. Louis Blues,Montréal Canadiens
1999020560,Los Angeles Kings,4,Florida Panthers,2,Dan O'Halloran,Wayne Bonney,Los Angeles Kings,Florida Panthers
1999020561,Pittsburgh Penguins,5,Toronto Maple Leafs,2,Dennis LaRue,Dan Marouelli,Pittsburgh Penguins,Toronto Maple Leafs
1999020562,Carolina Hurricanes,4,Anaheim Ducks,4,Brad Watson,Stephane Provost,Carolina Hurricanes,Anaheim Ducks
1999020563,Dallas Stars,1,Vancouver Canucks,3,Mark Faucette,Scott Zelkin,Vancouver Canucks,Dallas Stars
1999020564,Colorado Avalanche,4,Montréal Canadiens,1,Don Koharski,Swede Knox,Colorado Avalanche,Montréal Canadiens
1999020565,Edmonton Oilers,5,Tampa Bay Lightning,1,Dave Jackson,Paul Stewart,Edmonton Oilers,Tampa Bay Lightning
1999020566,Boston Bruins,2,New York Islanders,5,Greg Kimmerly,Pierre Champoux,New York Islanders,Boston Bruins
1999020567,Toronto Maple Leafs,3,New York Rangers,5,Mike Leggo,Robbie Shick,New York Rangers,Toronto Maple Leafs
1999020568,Ottawa Senators,4,Buffalo Sabres,7,Bill McCreary,Lance Roberts,Buffalo Sabres,Ottawa Senators
1999020569,New Jersey Devils,4,Phoenix Coyotes,3,Bernard Degrace,Kerry Fraser,New Jersey Devils,Phoenix Coyotes
1999020570,Philadelphia Flyers,6,Pittsburgh Penguins,2,Terry Gregson,None,Philadelphia Flyers,Pittsburgh Penguins
1999020571,Washington Capitals,3,Atlanta Thrashers,0,Michael McGeough,Dan Schachte,Washington Capitals,Atlanta Thrashers
1999020572,Detroit Red Wings,5,Anaheim Ducks,3,Richard Trottier,Stephen Walkom,Detroit Red Wings,Anaheim Ducks
1999020573,St. Louis Blues,4,Vancouver Canucks,2,Paul Devorski,Kevin Maguire,St. Louis Blues,Vancouver Canucks
1999020574,Nashville Predators,6,Chicago Blackhawks,3,Blaine Angus,Mark Faucette,Nashville Predators,Chicago Blackhawks
1999020575,Calgary Flames,3,Tampa Bay Lightning,2,Dan O'Halloran,Troy Sartison,Calgary Flames,Tampa Bay Lightning
1999020576,San Jose Sharks,2,Florida Panthers,4,Don Koharski,Wayne Bonney,Florida Panthers,San Jose Sharks
1999020577,Carolina Hurricanes,1,New York Rangers,0,Dennis LaRue,Brad Watson,Carolina Hurricanes,New York Rangers
1999020578,Chicago Blackhawks,5,Colorado Avalanche,3,Dan Marouelli,Gerry Gauthier,Chicago Blackhawks,Colorado Avalanche
1999020579,New York Islanders,2,Phoenix Coyotes,2,Paul Stewart,Mark Pare,New York Islanders,Phoenix Coyotes
1999020580,Boston Bruins,2,Toronto Maple Leafs,3,Tim Peel,Don Van Massenhoven,Toronto Maple Leafs,Boston Bruins
1999020581,Montréal Canadiens,3,Detroit Red Wings,0,Dave Jackson,Scott Zelkin,Montréal Canadiens,Detroit Red Wings
1999020582,Carolina Hurricanes,3,Philadelphia Flyers,4,Richard Trottier,Gordon Broseker,Philadelphia Flyers,Carolina Hurricanes
1999020583,Tampa Bay Lightning,5,New Jersey Devils,6,Michael McGeough,Kevin Collins,New Jersey Devils,Tampa Bay Lightning
