code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020104,New Jersey Devils,3,Pittsburgh Penguins,3,Lance Roberts,Kevin Collins,0,0
1994020105,Vancouver Canucks,4,Chicago Blackhawks,9,Dave Jackson,Wayne Bonney,0,1
1994020106,Los Angeles Kings,2,Anaheim Ducks,3,Bill McCreary,Ron Finn,0,1
1994020107,Ottawa Senators,3,Philadelphia Flyers,0,Paul Devorski,Scott Driscoll,1,0
1994020108,Toronto Maple Leafs,7,San Jose Sharks,3,Paul Stewart,Ron Asselstine,1,0
1994020109,Calgary Flames,4,Winnipeg Jets (1979),5,Andy van Hellemond,Swede Knox,0,1
1994020110,Boston Bruins,7,Montréal Canadiens,4,Dan Marouelli,Kevin Collins,1,0
1994020111,Pittsburgh Penguins,7,Florida Panthers,3,Paul Stewart,Ron Asselstine,1,0
1994020112,Buffalo Sabres,2,Washington Capitals,1,Walkom,Driscoll,1,0
1994020113,Tampa Bay Lightning,5,New York Islanders,2,Mark Faucette,Pat Dapuzzo,1,0
1994020114,Detroit Red Wings,6,San Jose Sharks,0,Roberts,Scapinello,1,0
1994020115,St. Louis Blues,5,Los Angeles Kings,5,Richard Trottier,Dan Schachte,0,0
1994020116,Vancouver Canucks,4,Edmonton Oilers,4,McCreary,Wayne Bonney,0,0
1994020117,Anaheim Ducks,0,Chicago Blackhawks,3,Rob Shick,Ron Finn,0,1
1994020118,Hartford Whalers,2,Quebec Nordiques,3,Dave Jackson,Kevin Collins,0,1
1994020119,Ottawa Senators,2,Montréal Canadiens,4,Don Koharski,Pierre Champoux,0,1
1994020120,New York Rangers,5,Washington Capitals,4,Dan Marouelli,Dan McCourt,1,0
1994020121,Toronto Maple Leafs,3,Dallas Stars,3,Paul Devorski,Pierre Racicot,0,0
1994020122,Edmonton Oilers,3,Winnipeg Jets (1979),3,Don Van Massenhoven,Swede Knox,0,0
1994020123,Boston Bruins,3,Quebec Nordiques,4,Don Koharski,Gerry Gauthier,0,1
1994020124,New York Islanders,2,Pittsburgh Penguins,5,Richard Trottier,Dan McCourt,0,1
1994020125,New Jersey Devils,4,New York Rangers,1,Dave Jackson,Pat Dapuzzo,1,0
1994020126,Philadelphia Flyers,0,Florida Panthers,3,Kerry Fraser,Leon Stickle,0,1
1994020127,St. Louis Blues,0,Chicago Blackhawks,5,Terry Gregson,Jean Morin,0,1
1994020128,Calgary Flames,5,Anaheim Ducks,1,Mick McGeough,Mike Cvik,1,0
1994020129,Vancouver Canucks,5,Winnipeg Jets (1979),1,Don Van Massenhoven,Shane Hayer,1,0
1994020130,Tampa Bay Lightning,4,Hartford Whalers,3,Paul Stewart,Ron Asselstine,1,0
1994020131,Detroit Red Wings,1,Toronto Maple Leafs,2,Gregson,Pare,0,1
1994020132,Edmonton Oilers,5,San Jose Sharks,1,Mick McGeough,Baron Parker,1,0
1994020133,Boston Bruins,1,Washington Capitals,1,Dave Jackson,Gerry Gauthier,0,0
1994020134,Pittsburgh Penguins,3,Montréal Canadiens,1,Paul Devorski,Leon Stickle,1,0
1994020135,Quebec Nordiques,5,Ottawa Senators,2,Richard Trottier,Pierre Racicot,1,0
1994020136,New York Islanders,2,Buffalo Sabres,1,Don Koharski,Dan McCourt,1,0
1994020137,New Jersey Devils,1,Philadelphia Flyers,3,Andy van Hellemond,Gordon Broseker,0,1
1994020138,Tampa Bay Lightning,2,New York Rangers,3,Kerry Fraser,Ron Asselstine,0,1
1994020139,Florida Panthers,4,Hartford Whalers,3,Mark Faucette #11,Pierre Champoux,1,0
1994020140,Toronto Maple Leafs,2,Los Angeles Kings,5,Dan Marouelli,Greg Devorski,0,1
1994020141,St. Louis Blues,2,Winnipeg Jets (1979),3,Lance Roberts,Jean Morin,0,1
1994020142,Dallas Stars,0,Calgary Flames,6,Walkom,Pare,0,1
