,Ref,Team,Wins,Losses,Win %,Goals per Game
149,Faucette,Detroit Red Wings,4,1,0.8,2.571428571428572
150,Faucette,Calgary Flames,0,1,0.0,3.0
151,Faucette,Winnipeg Jets (1979),0,0,,
152,Faucette,Anaheim Ducks,0,3,0.0,2.333333333333333
153,Faucette,Edmonton Oilers,0,2,0.0,2.0
154,Faucette,Dallas Stars,6,3,0.6666666666666666,4.0
155,Faucette,Vancouver Canucks,2,2,0.5,3.0
156,Faucette,San Jose Sharks,1,3,0.25,2.6666666666666665
157,Faucette,St. Louis Blues,1,0,1.0,4.5
158,Faucette,Los Angeles Kings,0,1,0.0,4.0
159,Faucette,Toronto Maple Leafs,4,0,1.0,4.75
160,Faucette,Hartford Whalers,0,1,0.0,1.0
161,Faucette,Washington Capitals,0,0,,
162,Faucette,Florida Panthers,0,0,,
163,Faucette,New York Islanders,0,1,0.0,1.0
164,Faucette,Montréal Canadiens,2,3,0.4,2.6666666666666665
165,Faucette,Philadelphia Flyers,1,0,1.0,4.5
166,Faucette,Quebec Nordiques,0,0,,
167,Faucette,Boston Bruins,0,1,0.0,2.0
168,Faucette,New Jersey Devils,0,0,,
169,Faucette,Ottawa Senators,1,1,0.5,2.5
170,Faucette,Colorado Avalanche,2,1,0.6666666666666666,4.333333333333333
171,Faucette,Phoenix Coyotes,1,0,1.0,4.0
172,Faucette,Carolina Hurricanes,0,0,,
173,Faucette,Nashville Predators,0,0,,
174,Faucette,Atlanta Thrashers,0,0,,
175,Faucette,Minnesota Wild,0,0,,
176,Faucette,Columbus Blue Jackets,0,0,,
177,Faucette,Winnipeg Jets,0,0,,
178,Faucette,Arizona Coyotes,0,0,,
179,Faucette,Vegas Golden Knights,0,0,,
180,G. Devorski,Buffalo Sabres,0,0,,
181,G. Devorski,New York Rangers,0,0,,
182,G. Devorski,Pittsburgh Penguins,0,0,,
183,G. Devorski,Tampa Bay Lightning,0,0,,
184,G. Devorski,Chicago Blackhawks,0,1,0.0,1.0
185,G. Devorski,Detroit Red Wings,3,0,1.0,5.25
186,G. Devorski,Calgary Flames,0,0,,
187,G. Devorski,Winnipeg Jets (1979),0,0,,
188,G. Devorski,Anaheim Ducks,0,0,,
189,G. Devorski,Edmonton Oilers,0,1,0.0,0.0
190,G. Devorski,Dallas Stars,0,1,0.0,3.5
191,G. Devorski,Vancouver Canucks,0,0,,
192,G. Devorski,San Jose Sharks,0,0,,
193,G. Devorski,St. Louis Blues,0,0,,
194,G. Devorski,Los Angeles Kings,0,0,,
195,G. Devorski,Toronto Maple Leafs,0,0,,
196,G. Devorski,Hartford Whalers,0,0,,
197,G. Devorski,Washington Capitals,0,0,,
198,G. Devorski,Florida Panthers,0,0,,
199,G. Devorski,New York Islanders,0,0,,
200,G. Devorski,Montréal Canadiens,0,0,,
201,G. Devorski,Philadelphia Flyers,0,1,0.0,2.0
202,G. Devorski,Quebec Nordiques,1,0,1.0,4.0
203,G. Devorski,Boston Bruins,0,0,,
204,G. Devorski,New Jersey Devils,0,0,,
205,G. Devorski,Ottawa Senators,0,0,,
206,G. Devorski,Colorado Avalanche,0,0,,
207,G. Devorski,Phoenix Coyotes,0,0,,
208,G. Devorski,Carolina Hurricanes,0,0,,
209,G. Devorski,Nashville Predators,0,0,,
210,G. Devorski,Atlanta Thrashers,0,0,,
211,G. Devorski,Minnesota Wild,0,0,,
212,G. Devorski,Columbus Blue Jackets,0,0,,
213,G. Devorski,Winnipeg Jets,0,0,,
214,G. Devorski,Arizona Coyotes,0,0,,
215,G. Devorski,Vegas Golden Knights,0,0,,
216,Kerry Fraser,Buffalo Sabres,31,20,0.6078431372549019,2.8571428571428568
217,Kerry Fraser,New York Rangers,40,50,0.4444444444444444,2.4504504504504503
218,Kerry Fraser,Pittsburgh Penguins,33,30,0.5238095238095238,3.0
219,Kerry Fraser,Tampa Bay Lightning,12,48,0.2,2.34375
220,Kerry Fraser,Chicago Blackhawks,31,27,0.5344827586206896,2.952380952380953
221,Kerry Fraser,Detroit Red Wings,47,13,0.7833333333333333,3.5
222,Kerry Fraser,Calgary Flames,20,29,0.40816326530612246,2.491228070175439
223,Kerry Fraser,Winnipeg Jets (1979),0,2,0.0,2.2
224,Kerry Fraser,Anaheim Ducks,18,29,0.3829787234042553,2.4259259259259256
225,Kerry Fraser,Edmonton Oilers,14,34,0.2916666666666667,2.4
226,Kerry Fraser,Dallas Stars,29,15,0.6590909090909091,2.44
227,Kerry Fraser,Vancouver Canucks,32,23,0.5818181818181818,2.772727272727273
228,Kerry Fraser,San Jose Sharks,19,24,0.4418604651162791,2.8235294117647056
229,Kerry Fraser,St. Louis Blues,31,29,0.5166666666666667,2.75
230,Kerry Fraser,Los Angeles Kings,26,30,0.4642857142857143,2.544117647058824
231,Kerry Fraser,Toronto Maple Leafs,28,34,0.45161290322580644,2.6714285714285717
232,Kerry Fraser,Hartford Whalers,2,4,0.3333333333333333,3.0
233,Kerry Fraser,Washington Capitals,31,26,0.543859649122807,2.6818181818181817
234,Kerry Fraser,Florida Panthers,26,42,0.38235294117647056,2.432098765432099
235,Kerry Fraser,New York Islanders,33,36,0.4782608695652174,2.494117647058824
236,Kerry Fraser,Montréal Canadiens,26,26,0.5,2.629032258064516
237,Kerry Fraser,Philadelphia Flyers,54,35,0.6067415730337079,2.89622641509434
238,Kerry Fraser,Quebec Nordiques,3,1,0.75,2.5
239,Kerry Fraser,Boston Bruins,41,42,0.4939759036144578,2.8842105263157896
240,Kerry Fraser,New Jersey Devils,53,27,0.6625,2.8526315789473684
241,Kerry Fraser,Ottawa Senators,31,24,0.5636363636363636,2.9375
242,Kerry Fraser,Colorado Avalanche,28,21,0.5714285714285714,3.1785714285714284
243,Kerry Fraser,Phoenix Coyotes,17,26,0.3953488372093023,2.5098039215686274
244,Kerry Fraser,Carolina Hurricanes,26,28,0.48148148148148145,2.5901639344262297
245,Kerry Fraser,Nashville Predators,17,16,0.5151515151515151,2.8947368421052637
246,Kerry Fraser,Atlanta Thrashers,11,21,0.34375,2.756756756756757
247,Kerry Fraser,Minnesota Wild,12,12,0.5,2.8076923076923075
248,Kerry Fraser,Columbus Blue Jackets,11,9,0.55,2.875
249,Kerry Fraser,Winnipeg Jets,0,0,,
250,Kerry Fraser,Arizona Coyotes,0,0,,
251,Kerry Fraser,Vegas Golden Knights,0,0,,
252,Mike Cvik,Buffalo Sabres,3,5,0.375,2.0
253,Mike Cvik,New York Rangers,5,2,0.7142857142857143,3.7142857142857135
254,Mike Cvik,Pittsburgh Penguins,2,2,0.5,3.4
255,Mike Cvik,Tampa Bay Lightning,1,2,0.3333333333333333,3.0
256,Mike Cvik,Chicago Blackhawks,8,3,0.7272727272727273,3.5384615384615383
257,Mike Cvik,Detroit Red Wings,7,3,0.7,3.7692307692307687
258,Mike Cvik,Calgary Flames,19,25,0.4318181818181818,2.58
259,Mike Cvik,Winnipeg Jets (1979),5,4,0.5555555555555556,3.5
260,Mike Cvik,Anaheim Ducks,13,16,0.4482758620689655,2.5161290322580645
261,Mike Cvik,Edmonton Oilers,19,9,0.6785714285714286,3.0909090909090913
262,Mike Cvik,Dallas Stars,6,8,0.42857142857142855,2.6875
263,Mike Cvik,Vancouver Canucks,10,8,0.5555555555555556,3.523809523809524
264,Mike Cvik,San Jose Sharks,9,18,0.3333333333333333,2.9655172413793105
265,Mike Cvik,St. Louis Blues,5,5,0.5,3.4545454545454546
266,Mike Cvik,Los Angeles Kings,5,15,0.25,3.32
267,Mike Cvik,Toronto Maple Leafs,6,3,0.6666666666666666,3.3
268,Mike Cvik,Hartford Whalers,1,2,0.3333333333333333,3.0
269,Mike Cvik,Washington Capitals,2,1,0.6666666666666666,2.75
270,Mike Cvik,Florida Panthers,1,1,0.5,2.0
271,Mike Cvik,New York Islanders,1,3,0.25,3.2
272,Mike Cvik,Montréal Canadiens,4,2,0.6666666666666666,2.6666666666666665
273,Mike Cvik,Philadelphia Flyers,3,1,0.75,2.75
274,Mike Cvik,Quebec Nordiques,1,1,0.5,3.0
275,Mike Cvik,Boston Bruins,5,5,0.5,3.727272727272727
276,Mike Cvik,New Jersey Devils,5,1,0.8333333333333334,3.0
277,Mike Cvik,Ottawa Senators,0,3,0.0,1.8
278,Mike Cvik,Colorado Avalanche,18,8,0.6923076923076923,3.888888888888889
279,Mike Cvik,Phoenix Coyotes,4,7,0.36363636363636365,2.363636363636364
280,Mike Cvik,Carolina Hurricanes,0,0,,2.0
281,Mike Cvik,Nashville Predators,0,5,0.0,1.8
282,Mike Cvik,Atlanta Thrashers,0,0,,
283,Mike Cvik,Minnesota Wild,0,0,,
284,Mike Cvik,Columbus Blue Jackets,0,0,,
285,Mike Cvik,Winnipeg Jets,0,0,,
286,Mike Cvik,Arizona Coyotes,0,0,,
287,Mike Cvik,Vegas Golden Knights,0,0,,
288,Andy McElman,Buffalo Sabres,5,4,0.5555555555555556,3.1
289,Andy McElman,New York Rangers,2,2,0.5,2.6
290,Andy McElman,Pittsburgh Penguins,2,4,0.3333333333333333,3.1428571428571432
291,Andy McElman,Tampa Bay Lightning,1,6,0.14285714285714285,2.4285714285714284
292,Andy McElman,Chicago Blackhawks,16,10,0.6153846153846154,3.2068965517241383
293,Andy McElman,Detroit Red Wings,1,1,0.5,2.6666666666666665
294,Andy McElman,Calgary Flames,1,4,0.2,3.1666666666666665
295,Andy McElman,Winnipeg Jets (1979),5,2,0.7142857142857143,3.6666666666666665
296,Andy McElman,Anaheim Ducks,4,3,0.5714285714285714,3.4285714285714284
297,Andy McElman,Edmonton Oilers,5,5,0.5,2.5
298,Andy McElman,Dallas Stars,4,2,0.6666666666666666,3.571428571428572
299,Andy McElman,Vancouver Canucks,1,2,0.3333333333333333,3.0
300,Andy McElman,San Jose Sharks,1,2,0.3333333333333333,3.25
301,Andy McElman,St. Louis Blues,9,12,0.42857142857142855,2.3846153846153846
302,Andy McElman,Los Angeles Kings,0,3,0.0,1.3333333333333333
303,Andy McElman,Toronto Maple Leafs,2,3,0.4,3.0
304,Andy McElman,Hartford Whalers,0,1,0.0,3.5
305,Andy McElman,Washington Capitals,2,0,1.0,3.5
306,Andy McElman,Florida Panthers,3,1,0.75,2.833333333333333
307,Andy McElman,New York Islanders,0,2,0.0,2.75
308,Andy McElman,Montréal Canadiens,2,2,0.5,2.25
309,Andy McElman,Philadelphia Flyers,2,0,1.0,3.25
310,Andy McElman,Quebec Nordiques,0,0,,
311,Andy McElman,Boston Bruins,1,3,0.25,2.2
312,Andy McElman,New Jersey Devils,5,3,0.625,2.3
313,Andy McElman,Ottawa Senators,1,1,0.5,2.5
314,Andy McElman,Colorado Avalanche,7,3,0.7,3.6666666666666665
315,Andy McElman,Phoenix Coyotes,3,0,1.0,3.333333333333333
316,Andy McElman,Carolina Hurricanes,2,2,0.5,2.833333333333333
317,Andy McElman,Nashville Predators,2,6,0.25,1.625
318,Andy McElman,Atlanta Thrashers,0,0,,
319,Andy McElman,Minnesota Wild,0,0,,
320,Andy McElman,Columbus Blue Jackets,0,0,,
321,Andy McElman,Winnipeg Jets,0,0,,
