,Ref,Team,Goals per Game
164,Faucette,Montréal Canadiens,2.6666666666666665
165,Faucette,Philadelphia Flyers,4.5
166,Faucette,Quebec Nordiques,
167,Faucette,Boston Bruins,2.0
168,Faucette,New Jersey Devils,
169,Faucette,Ottawa Senators,2.5
170,Faucette,Colorado Avalanche,4.333333333333333
171,Faucette,Phoenix Coyotes,4.0
172,Faucette,Carolina Hurricanes,
173,Faucette,Nashville Predators,
174,Faucette,Atlanta Thrashers,
175,Faucette,Minnesota Wild,
176,Faucette,Columbus Blue Jackets,
177,Faucette,Winnipeg Jets,
178,Faucette,Arizona Coyotes,
179,Faucette,Vegas Golden Knights,
180,G. Devorski,Buffalo Sabres,
181,G. Devorski,New York Rangers,
182,G. Devorski,Pittsburgh Penguins,
183,G. Devorski,Tampa Bay Lightning,
184,G. Devorski,Chicago Blackhawks,1.0
185,G. Devorski,Detroit Red Wings,5.25
186,G. Devorski,Calgary Flames,
187,G. Devorski,Winnipeg Jets (1979),
188,G. Devorski,Anaheim Ducks,
189,G. Devorski,Edmonton Oilers,0.0
190,G. Devorski,Dallas Stars,3.5
191,G. Devorski,Vancouver Canucks,
192,G. Devorski,San Jose Sharks,
193,G. Devorski,St. Louis Blues,
194,G. Devorski,Los Angeles Kings,
195,G. Devorski,Toronto Maple Leafs,
196,G. Devorski,Hartford Whalers,
197,G. Devorski,Washington Capitals,
198,G. Devorski,Florida Panthers,
199,G. Devorski,New York Islanders,
200,G. Devorski,Montréal Canadiens,
201,G. Devorski,Philadelphia Flyers,2.0
202,G. Devorski,Quebec Nordiques,4.0
203,G. Devorski,Boston Bruins,
204,G. Devorski,New Jersey Devils,
205,G. Devorski,Ottawa Senators,
206,G. Devorski,Colorado Avalanche,
207,G. Devorski,Phoenix Coyotes,
208,G. Devorski,Carolina Hurricanes,
209,G. Devorski,Nashville Predators,
210,G. Devorski,Atlanta Thrashers,
211,G. Devorski,Minnesota Wild,
212,G. Devorski,Columbus Blue Jackets,
