,Ref,Score,Team
3117,Dean Warren,5,Philadelphia Flyers
3118,Rob Martell,2,Atlanta Thrashers
3119,Rob Martell,5,Philadelphia Flyers
3120,Brad Watson,2,Buffalo Sabres
3121,Brad Watson,3,New Jersey Devils
3122,Eric Furlatt,2,Buffalo Sabres
3123,Eric Furlatt,3,New Jersey Devils
3124,Craig Spada,2,New York Rangers
3125,Craig Spada,3,Tampa Bay Lightning
3126,Don Koharski,2,New York Rangers
3127,Don Koharski,3,Tampa Bay Lightning
3128,Dean Morton,0,Florida Panthers
3129,Dean Morton,7,Los Angeles Kings
3130,Tom Kowal,0,Florida Panthers
3131,Tom Kowal,7,Los Angeles Kings
3132,Paul Devorski,0,Dallas Stars
3133,Paul Devorski,2,St. Louis Blues
3134,Tim Peel,0,Dallas Stars
3135,Tim Peel,2,St. Louis Blues
3136,Dennis LaRue,0,Anaheim Ducks
3137,Dennis LaRue,3,Nashville Predators
3138,Ian Walsh,0,Anaheim Ducks
3139,Ian Walsh,3,Nashville Predators
3140,Brad Meier,4,Boston Bruins
3141,Brad Meier,3,Carolina Hurricanes
3142,Kevin Pollock,4,Boston Bruins
3143,Kevin Pollock,3,Carolina Hurricanes
3144,Dan O'Halloran,1,Minnesota Wild
3145,Dan O'Halloran,0,Phoenix Coyotes
3146,Greg Kimmerly,1,Minnesota Wild
3147,Greg Kimmerly,0,Phoenix Coyotes
3148,Kelly Sutherland,4,Calgary Flames
3149,Kelly Sutherland,3,Vancouver Canucks
3150,Michael McGeough,4,Calgary Flames
3151,Michael McGeough,3,Vancouver Canucks
3152,Marc Joannette,1,New York Islanders
3153,Marc Joannette,1,Washington Capitals
3154,Mike Hasenfratz,1,New York Islanders
3155,Mike Hasenfratz,1,Washington Capitals
3156,Chris Rooney,4,Montréal Canadiens
3157,Chris Rooney,3,Pittsburgh Penguins
3158,Dave Jackson,4,Montréal Canadiens
3159,Dave Jackson,3,Pittsburgh Penguins
3160,Don Koharski,4,Detroit Red Wings
3161,Don Koharski,3,New York Rangers
3162,Eric Furlatt,4,Detroit Red Wings
3163,Eric Furlatt,3,New York Rangers
3164,Don Koharski,2,Boston Bruins
3165,Don Koharski,2,Washington Capitals
3166,Wes McCauley,2,Boston Bruins
3167,Wes McCauley,2,Washington Capitals
3168,Don VanMassenhoven,3,Atlanta Thrashers
3169,Don VanMassenhoven,3,Buffalo Sabres
3170,Justin StPierre,3,Atlanta Thrashers
3171,Justin StPierre,3,Buffalo Sabres
3172,Paul Devorski,0,Columbus Blue Jackets
3173,Paul Devorski,3,Phoenix Coyotes
3174,Stephane Auger,0,Columbus Blue Jackets
3175,Stephane Auger,3,Phoenix Coyotes
3176,Dave Jackson,2,Carolina Hurricanes
3177,Dave Jackson,1,Montréal Canadiens
3178,Gord Dwyer,2,Carolina Hurricanes
3179,Gord Dwyer,1,Montréal Canadiens
3180,Kerry Fraser,2,New Jersey Devils
3181,Kerry Fraser,2,New York Rangers
3182,Mike Hasenfratz,2,New Jersey Devils
3183,Mike Hasenfratz,2,New York Rangers
3184,Eric Furlatt,1,Nashville Predators
3185,Eric Furlatt,4,Pittsburgh Penguins
3186,Marc Joannette,1,Nashville Predators
3187,Marc Joannette,4,Pittsburgh Penguins
3188,Kevin Pollock,2,Los Angeles Kings
3189,Kevin Pollock,2,Tampa Bay Lightning
3190,Rob Martell,2,Los Angeles Kings
3191,Rob Martell,2,Tampa Bay Lightning
3192,Dan O'Halloran,1,St. Louis Blues
3193,Dan O'Halloran,2,Toronto Maple Leafs
3194,Rob Shick,1,St. Louis Blues
3195,Rob Shick,2,Toronto Maple Leafs
3196,Bill McCreary,4,Dallas Stars
3197,Bill McCreary,2,Minnesota Wild
3198,Dennis LaRue,4,Dallas Stars
3199,Dennis LaRue,2,Minnesota Wild
3200,Brad Watson,5,Colorado Avalanche
3201,Brad Watson,4,Florida Panthers
3202,Greg Kimmerly,5,Colorado Avalanche
3203,Greg Kimmerly,4,Florida Panthers
3204,Brad Meier,2,Calgary Flames
3205,Brad Meier,2,Chicago Blackhawks
3206,Tom Kowal,2,Calgary Flames
3207,Tom Kowal,2,Chicago Blackhawks
3208,Dan Marouelli,2,Edmonton Oilers
3209,Dan Marouelli,5,Vancouver Canucks
3210,Mike Leggo,2,Edmonton Oilers
3211,Mike Leggo,5,Vancouver Canucks
3212,Chris Lee,7,Anaheim Ducks
3213,Chris Lee,4,San Jose Sharks
3214,Tim Peel,7,Anaheim Ducks
3215,Tim Peel,4,San Jose Sharks
3216,Dan O'Rourke,3,Buffalo Sabres
3217,Dan O'Rourke,2,Ottawa Senators
3218,Dean Warren,3,Buffalo Sabres
3219,Dean Warren,2,Ottawa Senators
3220,Don Koharski,2,New York Islanders
3221,Don Koharski,0,Philadelphia Flyers
3222,Wes McCauley,2,New York Islanders
3223,Wes McCauley,0,Philadelphia Flyers
3224,Eric Furlatt,4,Detroit Red Wings
3225,Eric Furlatt,2,Phoenix Coyotes
3226,Rob Shick,4,Detroit Red Wings
3227,Rob Shick,2,Phoenix Coyotes
3228,Dan Marouelli,3,Chicago Blackhawks
3229,Dan Marouelli,0,Vancouver Canucks
3230,Mike Leggo,3,Chicago Blackhawks
3231,Mike Leggo,0,Vancouver Canucks
3232,Chris Lee,2,Anaheim Ducks
