code,away_outcome,away_score,away_team,home_outcome,home_score,home_team,official_1,official_2
1997020838,1,2,Toronto Maple Leafs,0,1,Los Angeles Kings,Robbie Shick,Baron Parker
1997020839,1,4,Edmonton Oilers,0,0,Florida Panthers,Dave Jackson,Brian Murphy
1997020840,0,3,Anaheim Ducks,1,6,Dallas Stars,Lance Roberts,Wayne Bonney
1997020841,0,1,New York Rangers,1,5,Boston Bruins,Michael McGeough,Kevin Collins
1997020842,1,2,San Jose Sharks,0,1,Carolina Hurricanes,TROTTIER,Henderson
1997020843,0,1,Buffalo Sabres,1,2,Pittsburgh Penguins,Terry Gregson,Mark Wheler
1997020844,0,0,Washington Capitals,1,4,Ottawa Senators,Dan O'Halloran,Tim Nowak
1997020845,0,2,New Jersey Devils,1,4,Montréal Canadiens,Paul Devorski,Ray Scapinello
1997020846,1,6,Vancouver Canucks,0,2,New York Islanders,Paul Stewart,Pierre Champoux
1997020847,0,1,Detroit Red Wings,1,6,Philadelphia Flyers,Don Van Massenhoven,Scott Driscoll
1997020848,0,0,Chicago Blackhawks,1,1,Tampa Bay Lightning,Stephen Walkom,Mark Pare
1997020849,0,1,Calgary Flames,1,2,Toronto Maple Leafs,Dennis Larue,Jean Morin
1997020850,1,2,Phoenix Coyotes,0,0,St. Louis Blues,Don Koharski,Thor Nelson
1997020851,0,2,Colorado Avalanche,1,5,Los Angeles Kings,Bill McCreary,Shane Heyer
1997020852,0,1,Edmonton Oilers,1,4,Carolina Hurricanes,Don Van Massenhoven,Danny McCourt
1997020853,0,0,Pittsburgh Penguins,1,3,Buffalo Sabres,Dan Marouelli,Mark Wheler
1997020854,1,8,Chicago Blackhawks,0,4,Florida Panthers,Stephen Walkom,Brian Murphy
1997020855,0,3,Colorado Avalanche,1,5,Anaheim Ducks,Bill McCreary,Shane Heyer
1997020856,0,3,Tampa Bay Lightning,1,4,Boston Bruins,Dennis Larue,Pat Dapuzzo
1997020857,0,3,Calgary Flames,0,3,Montréal Canadiens,Dave Jackson,Kevin Collins
1997020858,0,4,Ottawa Senators,1,5,New York Rangers,Paul Stewart,Jean Morin
1997020859,0,1,Toronto Maple Leafs,1,4,Philadelphia Flyers,Terry Gregson,Swede Knox
1997020860,0,1,Phoenix Coyotes,1,2,Washington Capitals,Don Van Massenhoven,Randy Mitton
1997020861,0,1,Los Angeles Kings,1,2,San Jose Sharks,Robbie Shick,Shane Heyer
1997020862,1,5,Chicago Blackhawks,0,3,Buffalo Sabres,Kerry Fraser,Mark Wheler
1997020863,1,4,Vancouver Canucks,0,2,Florida Panthers,Richard Trottier,Mark Pare
1997020864,0,3,Edmonton Oilers,1,4,Detroit Red Wings,Don Koharski,Thor Nelson
1997020865,1,4,Dallas Stars,0,3,Los Angeles Kings,Bill McCreary,Wayne Bonney
1997020866,0,2,Edmonton Oilers,1,4,Pittsburgh Penguins,Kerry Fraser,Danny McCourt
1997020867,0,4,New York Islanders,0,4,Ottawa Senators,Dennis Larue,Kevin Collins
1997020868,0,1,Montréal Canadiens,1,2,New York Rangers,Dan Marouelli,Swede Knox
